size,regime,top_window_overlap,certificate_depth_median,certificate_depth_min,certificate_depth_max,work_ratio_median,work_ratio_min,work_ratio_max,exhaustive_cases,source_sha256
100000,correlated,0.9943333333333333,32,32,32,0.00032,0.00032,0.00032,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
100000,partial-overlap,0.5,1264,1168,1312,0.01264,0.01168,0.01312,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
100000,independent,0.008,75248,66512,77952,0.75248,0.66512,0.77952,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
100000,anti-correlated,0.0,100000,100000,100000,1.0,1.0,1.0,3,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
100000,all-tied,1.0,32,32,32,0.00032,0.00032,0.00032,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
1000000,correlated,0.9943333333333333,32,32,32,3.2e-05,3.2e-05,3.2e-05,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
1000000,partial-overlap,0.5,1264,1168,1312,0.001264,0.001168,0.001312,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
1000000,independent,0.0016666666666666668,779120,487328,788832,0.77912,0.487328,0.788832,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
1000000,anti-correlated,0.0,1000000,1000000,1000000,1.0,1.0,1.0,3,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
1000000,all-tied,1.0,32,32,32,3.2e-05,3.2e-05,3.2e-05,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
5000000,correlated,0.9943333333333333,32,32,32,6.4e-06,6.4e-06,6.4e-06,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
5000000,partial-overlap,0.5,1264,1168,1312,0.0002528,0.0002336,0.0002624,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
5000000,independent,0.0,3223584,2847312,4180240,0.6447168,0.5694624,0.836048,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
5000000,anti-correlated,0.0,5000000,5000000,5000000,1.0,1.0,1.0,3,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
5000000,all-tied,1.0,32,32,32,6.4e-06,6.4e-06,6.4e-06,0,4bbe6c1a60ac023e8ce972b6c18cbb287c49d251473667bfb24024734451963c
