dataset,queries,method,depth,metric,mean,paired_difference_from_full,paired_difference_ci95_low,paired_difference_ci95_high,primary_eligible,candidate_union_contains_full,membership_exact,ordered_exact,ordered_exact_ci95_low,ordered_exact_ci95_high,longest_exact_prefix,full_membership_recall,source_sha256
nfcorpus,323,dense,,nDCG@10,0.33693292112848044,-0.029601382584529885,-0.044346130510803834,-0.014968137310744114,1,,,,,,,,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,dense,,MRR@10,0.5283564302914148,-0.049823087129588675,-0.08227225539338541,-0.0172264914737825,1,,,,,,,,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,dense,,Recall@100,0.30593750484589893,-0.01093650040364733,-0.02213277131413239,0.0008388813324993623,1,,,,,,,,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,sparse,,nDCG@10,0.32062545526782454,-0.045908848445185856,-0.06049856331352395,-0.032493352701231534,1,,,,,,,,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,sparse,,MRR@10,0.5215194849869773,-0.056660032434026245,-0.0822421863482235,-0.03199886972332793,1,,,,,,,,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,sparse,,Recall@100,0.24778597163433808,-0.06908803361520822,-0.0850578903274882,-0.054416786159173704,1,,,,,,,,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L10,10,nDCG@10,0.3574239881325731,-0.009110315580437293,-0.017111499005614268,-0.0012505373402475568,1,0.0,0.0,0.0,0.0,0.011753278897220798,3.931888544891641,0.5876160990712075,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L10,10,MRR@10,0.5706619489901223,-0.0075175684308811256,-0.019737456386063196,0.004252082411912131,1,0.0,0.0,0.0,0.0,0.011753278897220798,3.931888544891641,0.5876160990712075,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L10,10,Recall@100,0.19299718765015764,-0.12387681759938864,-0.13973503555214725,-0.10858910724574686,0,0.0,0.0,0.0,0.0,0.011753278897220798,3.931888544891641,0.5876160990712075,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L20,20,nDCG@10,0.3611579240165682,-0.0053763796964421216,-0.011593709609726695,0.0007797852314950537,1,0.3684210526315789,0.2631578947368421,0.13003095975232198,0.09765774532001283,0.17110087281136727,7.164086687306502,0.7623839009287926,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L20,20,MRR@10,0.5699714973708782,-0.008208020050125314,-0.01794827141382869,0.0004363236522679227,1,0.3684210526315789,0.2631578947368421,0.13003095975232198,0.09765774532001283,0.17110087281136727,7.164086687306502,0.7623839009287926,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L20,20,Recall@100,0.23842457468463957,-0.07844943056490675,-0.09047526081046306,-0.06711910834669184,0,0.3684210526315789,0.2631578947368421,0.13003095975232198,0.09765774532001283,0.17110087281136727,7.164086687306502,0.7623839009287926,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L50,50,nDCG@10,0.36252756671596015,-0.004006736997050223,-0.007978003253889022,-0.0004232573538584104,1,0.9752321981424149,0.3591331269349845,0.23839009287925697,0.19516818720288698,0.2877615469569592,11.386996904024768,0.8620743034055727,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L50,50,MRR@10,0.5692859599980343,-0.008893557422969187,-0.0174015922158337,-0.0025000921421200065,1,0.9752321981424149,0.3591331269349845,0.23839009287925697,0.19516818720288698,0.2877615469569592,11.386996904024768,0.8620743034055727,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L50,50,Recall@100,0.29770418605607885,-0.019169819193467438,-0.024409498702759904,-0.013950493189828802,0,0.9752321981424149,0.3591331269349845,0.23839009287925697,0.19516818720288698,0.2877615469569592,11.386996904024768,0.8620743034055727,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L100,100,nDCG@10,0.36345562686308786,-0.003078676849922506,-0.0061250567736034255,-0.0006252566465393619,1,1.0,0.5572755417956656,0.44891640866873067,0.3955908440117758,0.5034427727176616,14.455108359133128,0.9280185758513931,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L100,100,MRR@10,0.5698719838812718,-0.008307533539731684,-0.016563467492260064,-0.002244582043343653,1,1.0,0.5572755417956656,0.44891640866873067,0.3955908440117758,0.5034427727176616,14.455108359133128,0.9280185758513931,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L100,100,Recall@100,0.31475402585788204,-0.002119979391664276,-0.006390163216837345,0.0020043608543878688,1,1.0,0.5572755417956656,0.44891640866873067,0.3955908440117758,0.5034427727176616,14.455108359133128,0.9280185758513931,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L200,200,nDCG@10,0.3646832437838022,-0.0018510599292081876,-0.0045081990065009205,0.0001450772105454988,1,1.0,0.739938080495356,0.6439628482972136,0.5903324603186635,0.6942091652620128,16.58513931888545,0.9704334365325079,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
nfcorpus,323,fixed-L200,200,MRR@10,0.5721165659246155,-0.006062951496388029,-0.013415892672858618,-0.0007739938080495357,1,1.0,0.739938080495356,0.6439628482972136,0.5903324603186635,0.6942091652620128,16.58513931888545,0.9704334365325079,88b09d6eb8de130805a0ca25629f629aa17872f9c545c808461124594686e32b
