dataset,depth,queries,ordered_exact_rate,ordered_exact_ci95_low,ordered_exact_ci95_high,membership_exact_rate,candidate_union_contains_oracle_rate,mean_oracle_recall,median_candidate_union_size,median_exposed_ranks,candidate_missing,candidate_present_but_wrong,order_only,source_sha256
nfcorpus,20,323,0.13003095975232198,0.09765774532001283,0.17110087281136727,0.2631578947368421,0.3684210526315789,0.7623839009287926,32.0,40.0,204,77,43,4fab4bbbd4666ac8bf288c0a262ba6a9f6afbf48b1ae9dec2aa7e8bc2462fbd8
nfcorpus,50,323,0.23839009287925697,0.19516818720288698,0.2877615469569592,0.3591331269349845,0.9752321981424149,0.8620743034055727,80.0,100.0,8,238,39,4fab4bbbd4666ac8bf288c0a262ba6a9f6afbf48b1ae9dec2aa7e8bc2462fbd8
nfcorpus,100,323,0.44891640866873067,0.3955908440117758,0.5034427727176616,0.5572755417956656,1.0,0.9280185758513931,160.0,200.0,0,178,35,4fab4bbbd4666ac8bf288c0a262ba6a9f6afbf48b1ae9dec2aa7e8bc2462fbd8
nfcorpus,200,323,0.6439628482972136,0.5903324603186635,0.6942091652620128,0.739938080495356,1.0,0.9704334365325077,305.0,400.0,0,115,31,4fab4bbbd4666ac8bf288c0a262ba6a9f6afbf48b1ae9dec2aa7e8bc2462fbd8
nfcorpus,500,323,0.7678018575851393,0.7187706822727418,0.8105379330547529,0.8730650154798761,1.0,0.9908668730650155,630.0,733.0,0,75,34,4fab4bbbd4666ac8bf288c0a262ba6a9f6afbf48b1ae9dec2aa7e8bc2462fbd8
nfcorpus,1000,323,0.8421052631578947,0.7983486505531631,0.8778201586224225,0.9287925696594427,1.0,0.9959752321981424,1081.0,1233.0,0,51,28,4fab4bbbd4666ac8bf288c0a262ba6a9f6afbf48b1ae9dec2aa7e8bc2462fbd8
nfcorpus,2000,323,0.9226006191950464,0.888240529355002,0.9470268231560157,0.9659442724458205,1.0,0.998297213622291,2036.0,2233.0,0,25,14,4fab4bbbd4666ac8bf288c0a262ba6a9f6afbf48b1ae9dec2aa7e8bc2462fbd8
nfcorpus,5000,323,1.0,0.9882467211027792,1.0,1.0,1.0,1.0,3633.0,3866.0,0,0,0,4fab4bbbd4666ac8bf288c0a262ba6a9f6afbf48b1ae9dec2aa7e8bc2462fbd8
scifact,20,300,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,0.0033333333333333335,0.10333333333333333,0.6846666666666666,34.0,40.0,269,30,0,81b1aff8464db90f2c279d42e95fc8c09b1ab5193013b9882690d8944d415456
scifact,50,300,0.08666666666666667,0.05982889751804311,0.12395595869424827,0.08666666666666667,0.96,0.8118333333333334,86.0,100.0,12,262,0,81b1aff8464db90f2c279d42e95fc8c09b1ab5193013b9882690d8944d415456
scifact,100,300,0.4166666666666667,0.3622760916643604,0.4731644035397305,0.4166666666666667,1.0,0.9088333333333333,172.0,200.0,0,175,0,81b1aff8464db90f2c279d42e95fc8c09b1ab5193013b9882690d8944d415456
scifact,200,300,0.6766666666666666,0.6217915462510746,0.7270746039162523,0.6766666666666666,1.0,0.9638333333333332,341.0,400.0,0,97,0,81b1aff8464db90f2c279d42e95fc8c09b1ab5193013b9882690d8944d415456
scifact,500,300,0.8533333333333334,0.8088374877749912,0.8888948125596631,0.8566666666666667,1.0,0.9881666666666666,830.0,1000.0,0,44,1,81b1aff8464db90f2c279d42e95fc8c09b1ab5193013b9882690d8944d415456
scifact,1000,300,0.9133333333333333,0.8760440413057516,0.9401711024819569,0.9266666666666666,1.0,0.9954999999999999,1586.0,2000.0,0,26,4,81b1aff8464db90f2c279d42e95fc8c09b1ab5193013b9882690d8944d415456
scifact,2000,300,0.97,0.9439774608583589,0.9841381461905676,0.99,1.0,0.9993333333333334,2873.0,4000.0,0,9,6,81b1aff8464db90f2c279d42e95fc8c09b1ab5193013b9882690d8944d415456
scifact,5000,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0,1.0,5052.5,7888.5,0,0,0,81b1aff8464db90f2c279d42e95fc8c09b1ab5193013b9882690d8944d415456
trec-covid,20,50,0.0,6.938893903907228e-18,0.07134759913335872,0.02,0.06,0.604,38.0,40.0,47,3,1,516d101a446e4f557ab493f332daed765d44567baad5e35b575d4809c8dee7a6
trec-covid,50,50,0.0,6.938893903907228e-18,0.07134759913335872,0.02,0.82,0.713,93.0,100.0,9,41,1,516d101a446e4f557ab493f332daed765d44567baad5e35b575d4809c8dee7a6
trec-covid,100,50,0.16,0.08337420678033404,0.2851421606303499,0.18,1.0,0.868,183.5,200.0,0,42,1,516d101a446e4f557ab493f332daed765d44567baad5e35b575d4809c8dee7a6
trec-covid,200,50,0.3,0.19103553500880954,0.437503504644534,0.32,1.0,0.925,366.5,400.0,0,35,1,516d101a446e4f557ab493f332daed765d44567baad5e35b575d4809c8dee7a6
trec-covid,500,50,0.48,0.34797135286578046,0.6148825510995539,0.62,1.0,0.972,916.5,1000.0,0,26,7,516d101a446e4f557ab493f332daed765d44567baad5e35b575d4809c8dee7a6
trec-covid,1000,50,0.56,0.4230602802165686,0.6883780078874284,0.78,1.0,0.988,1795.0,2000.0,0,22,11,516d101a446e4f557ab493f332daed765d44567baad5e35b575d4809c8dee7a6
trec-covid,2000,50,0.6,0.4618143774758936,0.7239161026974346,0.86,1.0,0.993,3559.0,4000.0,0,20,13,516d101a446e4f557ab493f332daed765d44567baad5e35b575d4809c8dee7a6
trec-covid,5000,50,0.78,0.6475845041874634,0.8724608402978559,1.0,1.0,1.0,8757.0,10000.0,0,11,11,516d101a446e4f557ab493f332daed765d44567baad5e35b575d4809c8dee7a6
