dataset,plan,reference_plan,measured_queries,rounds,repetitions_per_round,measured_observations,p50_ms,p95_ms,p99_ms,ratio_vs_reference,ratio_ci95_low,ratio_ci95_high,query_win_rate,query_round_win_rate,dense_exact_scores_median,dense_quantized_scores_median,sparse_posting_elements_visited_median,sparse_materialized_exact_scores_median,source_sha256
nfcorpus,pvs-pbm,pvs-pbm,323,3,2,1938,0.8810415,2.8851937499999987,3.715777289999998,1.0,1.0,1.0,0.5,0.5,896.0,3633.0,241.0,0.0,ea38899dd16d8a4ccf9b8af9d7bb076d64b054dfeef2adb1bace4708252df941
nfcorpus,pvs-sparse-materialized,pvs-pbm,323,3,2,1938,0.9317085,2.9164249499999992,3.7266439199999972,1.027456288058945,1.0212554492638493,1.033454424046558,0.7337461300309598,0.6976264189886481,896.0,3633.0,0.0,233.0,ea38899dd16d8a4ccf9b8af9d7bb076d64b054dfeef2adb1bace4708252df941
nfcorpus,scalar-pbm,pvs-pbm,323,3,2,1938,1.1917085,3.2223999499999993,3.9439407099999992,1.3273436054813599,1.3106052720048131,1.344190447183513,0.9969040247678018,0.9907120743034056,2199.0,3633.0,241.0,0.0,ea38899dd16d8a4ccf9b8af9d7bb076d64b054dfeef2adb1bace4708252df941
nfcorpus,scan-pbm,pvs-pbm,323,3,2,1938,0.813292,2.3944107499999983,3.143732709999999,0.9149235579446724,0.9064219410447102,0.9232760516632671,0.15170278637770898,0.16202270381836945,3633.0,0.0,241.0,0.0,ea38899dd16d8a4ccf9b8af9d7bb076d64b054dfeef2adb1bace4708252df941
scifact,pvs-pbm,pvs-pbm,300,3,2,1800,1.021812,4.210418449999999,5.2991429199999995,1.0,1.0,1.0,0.5,0.5,864.0,5183.0,4080.0,0.0,d56cb2e334a7bd387db57ef05917554d01c657f6ccf60623f2587b9f8884a67b
scifact,pvs-sparse-materialized,pvs-pbm,300,3,2,1800,1.183917,4.3701122,5.30421217,1.1262182572223463,1.116950809576558,1.135466722878943,0.96,0.9377777777777778,864.0,5183.0,0.0,2888.5,d56cb2e334a7bd387db57ef05917554d01c657f6ccf60623f2587b9f8884a67b
scifact,scalar-pbm,pvs-pbm,300,3,2,1800,1.395833,4.757513949999999,5.7382725,1.3022763768370864,1.2901184151027338,1.3143668987302255,1.0,0.9933333333333333,2324.0,5183.0,4080.0,0.0,d56cb2e334a7bd387db57ef05917554d01c657f6ccf60623f2587b9f8884a67b
scifact,scan-pbm,pvs-pbm,300,3,2,1800,1.012146,3.5602082999999998,4.4721145899999994,0.9630927999563261,0.9549890227385375,0.9712256701134588,0.3566666666666667,0.36777777777777776,5183.0,0.0,4080.0,0.0,d56cb2e334a7bd387db57ef05917554d01c657f6ccf60623f2587b9f8884a67b
trec-covid,pvs-pbm,pvs-pbm,50,3,2,300,11.9328545,112.81557115000003,482.25869299999994,1.0,1.0,1.0,0.5,0.5,10152.0,171332.0,184091.0,0.0,7cdf3d45359e77f578050a3dee15083e2f42dd800df3214536fe0b4f72b131e4
trec-covid,pvs-sparse-materialized,pvs-pbm,50,3,2,300,34.582625,119.75588335,510.14516666000003,2.7466581867088657,2.3698802594531685,3.1804131026756126,1.0,1.0,10152.0,171332.0,0.0,95198.5,7cdf3d45359e77f578050a3dee15083e2f42dd800df3214536fe0b4f72b131e4
trec-covid,scalar-pbm,pvs-pbm,50,3,2,300,27.403937,121.85000175000003,501.51074699999975,1.7566739707290346,1.6430442940681642,1.8781957186754703,1.0,1.0,37962.5,171332.0,184091.0,0.0,7cdf3d45359e77f578050a3dee15083e2f42dd800df3214536fe0b4f72b131e4
trec-covid,scan-pbm,pvs-pbm,50,3,2,300,12.362271,88.14854200000003,412.09092517999994,1.1174828719170977,1.0168817943491597,1.2298807292693947,0.5,0.5266666666666666,171332.0,0.0,184091.0,0.0,7cdf3d45359e77f578050a3dee15083e2f42dd800df3214536fe0b4f72b131e4
msmarco-passage-trec-dl-2020,pvs-pbm,pvs-pbm,54,3,2,324,214.060083,1202.9125463999999,3134.2217749999973,1.0,1.0,1.0,0.5,0.5,2664.0,8841823.0,774492.5,0.0,d2c7b17dbc41558dc8dee31bb0705cf47b50d1cf882cd72d5d96aabdeec5bb2b
msmarco-passage-trec-dl-2020,pvs-sparse-materialized,pvs-pbm,54,3,2,324,608.6322705,1792.8176285499999,5744.075029659993,2.1083874513190204,1.8848131148664702,2.364602562316997,0.9629629629629629,0.845679012345679,2664.0,8841823.0,0.0,746665.0,d2c7b17dbc41558dc8dee31bb0705cf47b50d1cf882cd72d5d96aabdeec5bb2b
msmarco-passage-trec-dl-2020,scalar-pbm,pvs-pbm,54,3,2,324,653.2612085,7740.173087549984,40146.713188229936,2.3884364314521016,2.1285953559500164,2.7087371297247698,1.0,0.9320987654320988,19628.0,8841823.0,774492.5,0.0,d2c7b17dbc41558dc8dee31bb0705cf47b50d1cf882cd72d5d96aabdeec5bb2b
msmarco-passage-trec-dl-2020,scan-pbm,pvs-pbm,54,3,2,324,17327.1093335,18368.468406199998,19400.58534266,52.81919828212723,47.092834136798366,57.613129542553594,1.0,1.0,8841823.0,0.0,774492.5,0.0,d2c7b17dbc41558dc8dee31bb0705cf47b50d1cf882cd72d5d96aabdeec5bb2b
